epoch,train_loss,val_acc,val_macroF1,f1_human,f1_ai,f1_paraphrase
1,1.020516897925624,0.955,0.954922369896874,0.9925187027369482,0.9385749380704743,0.9336734688831997
2,0.8594814879805953,0.9816666666666667,0.9816288016441671,0.9925558307606107,0.9798994969825258,0.9724310771893645
3,0.6599039198734142,0.9866666666666667,0.9866541244166829,0.9975062339089931,0.9824561398459557,0.9799999994951
4,0.4542367955931911,0.99,0.9899873426948459,0.9975062339089931,0.9875311715649032,0.9849246226106412
5,0.29118130268873993,0.99,0.9899873426948459,0.9975062339089931,0.9875311715649032,0.9849246226106412
6,0.1793020471157851,0.99,0.9899873426948459,0.9975062339089931,0.9875311715649032,0.9849246226106412
7,0.11917737209134632,0.9916666666666667,0.9916583015260981,0.9975062339089931,0.98999999949505,0.9874686711742514
8,0.08345109012943727,0.9916666666666667,0.9916583015260981,0.9975062339089931,0.98999999949505,0.9874686711742514
9,0.0657555907799138,0.9916666666666667,0.9916666140780516,0.999999999495,0.9875311715649032,0.9874686711742514
10,0.05222357343192454,0.99,0.9899997494888081,0.999999999495,0.9850746263607831,0.9849246226106412
11,0.047444272030282904,0.9916666666666667,0.9916661973853582,0.999999999495,0.9875930516043078,0.987405541056767
12,0.04047714752455552,0.9916666666666667,0.9916661973853582,0.999999999495,0.9875930516043078,0.987405541056767
13,0.037114492726546745,0.99,0.9899997494888081,0.999999999495,0.9850746263607831,0.9849246226106412
14,0.03768923954831229,0.99,0.9899997494888081,0.999999999495,0.9850746263607831,0.9849246226106412
